review_title
"Blends easily, good reaction to misting"
Amazing!!!
Nice
I love them!!
"Excellent item, great quality"
"They don't look like picture, important to know"
"awesome, easy program"
"Simple, but effective"
"Red thread had a bad spot, but the company replaced it, which was very nice of them."
"Again, you’ll be lucky to receive the item."
"Excellent quality, very shiny."
"Yup works, might get more"
"Easier to use, compare to original film"
"Little Variety, lots of broken bits, but cute flatback Button"
"One issue, otherwise great!"
Absolute Crap ! Only four ball bearings ! barely turns !
"Nice, but not for me."
"Finally, some good sturdy snaps!"
"Well made, highly detailed"
"Love it but it should come with a ""how to"" manual"
"It does, in fact, fit"
"nice, flat, smooth, great"
"exactly like circut, excellent quality"
"Cheap, but good"
Many pieces too tiny to use (see photo) without magnifying glass and tweezers.
Comes out in blobs & stops up!
"wonderful, easy to use sizzors!"
This is an awesome die! The effects are tremendous
"Scissors, pinking and scalloped"
"ok, but could improve"
"Not my favorite, but I will use it up since I ..."
"Works great mostly, but I had trouble getting the edges ..."
"Nicely made, great quality!"
"Weird, but works"
"Great quality, very small amount."
"Nice set, I thought, but does not last, rubbed bands break"
"Cute,small, really jingle"
"Flimsy, but it works"
"Can use it for so many occasions or just to make fun backgrounds depicting sunsets, sunrise, winter or any season just by adding"
"Kinda tacky, but not bad."
"Average, not exceptional"
"Love this, work very well"
"Shipped fast, not very shiny"
Cheap but with no distortion
"The results can be beautiful, but it will take practice"
"Effective, but thinner than others"
"Works great, exactly as described"
"Very easy to use, nice quality for the money"
Great instruction - small black and white photos make it a tough read
"Cute, bright, shiny, LOTS per order"
"Set of three, sharp, and sturdy grip."
"Strange, but cool looking guy..."
it looks a lot bigger on my monitor than in ...
"Beautiful chain, and great quality!"
"Awesome, so very useful!"
"Pretty, but useful."
"Rough, scratchy and crisp"
"Easy to operate...makes nice, clear clouds!"
"These are fun, but fragile"
"Wonderful, and hard to find"
"Easy to use, good quality"
"If you like Wink of Stella, try this"
"As billed, rips seams"
"Excellent quality, as expected"
"Fragile, but a good idea"
"Anyway I could have made it easily myself, it's a simple design"
"The extra markings are useful, too"
"It went on smoothly and covered fairly well, but ..."
"Convenient, gorgeous, quality, highly recommend!"
"Finally, a wick that does a good job!"
"Great all around, everything to get ‘started’"
"Excellent Product, high cost"
"Simple operation, lightweight, great for homeschooling"
"Not 49 strand, but still very good"
"The final result should be beautiful, all the materials are good quality."
"A fantastic Brush Pen, probably the best for the money."
"Great for adults, kids, and on the go in the woods...."
"Small, quality not good. But good design."
"Not great, but I made it work"
"Great Value, I really like this size"
"Heavyweight, high quality, good price."
Kinda flimsy but make beautiful snowflakes
"Good quality, It works well and I am able ..."
"it's good, it works and it's fine"
"Very, very, very thin"
"Very nicely made and easy to use, looks good now, no clutter!"
"Good, but some are too intricate"
what a wonderful idea................
"Great size, excellent quality of stitching, and easy to use!"
"It was perfect, and didn't leave any red marks"
"Looks nice, wish it was heavier"
"Bright, soft, professional looking."
"Cheap, but not cheap on quality."
"Very bright, and high quality"
Practicar tool. I'ts look more strong in the photo ...
"All good, just wondering why when I ordered two items, they came two different days?  Extra work !"
"Ok, but not for me"
"Great idea, a bit flimsy for me"
The picture looks like a typical A2 size
"Nice and soft, & feels like it will hold its shape."
"Not as good as Tulip, but will do for beginners"
These are lovely images and easy to use.
"You want shimmer and fluid movement, this is it!"
... wheel around smoothly but all in all I am happy with
"Nothing wonderful, but it is what I expected"
"Beautiful! Glitter comes off easily, though"
"Useable, but not great quality."
"Perfect size, and works great"
"""Super Jumbo"" in the title is very misleading"
"when building, have your paience with you"
"Poor quality, no color flash."
"Small, but powerful"
"Man, I wish this worked"
"Absolutely amazing, portable, and useful!"
Correct Item but wrong description!
"A little thin and sparse, but they work out"
"Stopped turning after a few uses, DISSAPOINTED"
Stamp gives a great image!
"Hard to work with, good vibrance"
"Defective adhesion, lifts off by itself"
"Tiny, holds one small cake"
"Beautiful, expensive, but not my favorite."
"Very, very small!"
"Cheap looking, smaller than average, thin gauge"
"Practical, fun, easy, I really like it."
"No sticking, need i say more?"
"Perfect size, holds a lot"
"need grid mat, easy to use, med size"
"Small size, but accurate in description!"
"Clean, crisp, and complete cut"
"Super fun, on the smaller side"
"Strength, that's what you want in Duct Tape."
"I would have given it five stars, but..."
"Ergonomic, works good, and I like to smell it..."
"Very well made, and it's lined with Satin!"
"Dries slowly, leaves a fat line"
"Beautiful, but harder to do than I thought. 4 stars ✨"
"Good, but not great"
"Goodly amount, poor quality."
"Super cute, good fit"
"Not all perfectly white,some crystal clear parts."
"So far everything works great, looking forward to spending a lot of time ..."
